"Provincia, canton y distrito",Población de 15 años y más,Tasa neta de participación,Tasa_de_ocupacion,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,Sector Primario,Sector Secundario,Sector Terciario
,,,,,,,,,
San José,1087315.0,56.02369138658071,54.076325627807954,3.4759683101481724,43.9763086134193,1.3052331594309485,5.4697438688390765,17.29412565053233,77.23613048062859
,,,,,,,,,
San José,225856.0,56.70825658826863,54.47718900538396,3.9342905550480562,43.29174341173137,1.2490337994519007,0.653446033810143,18.906046814044213,80.44050715214564
,,,,,,,,,
Carmen           ,2431.0,56.31427396133278,54.792266556972436,2.7027027027027026,43.68572603866722,0.9737034331628927,1.5765765765765765,8.708708708708707,89.71471471471472
Merced         ,9655.0,59.24391506991197,56.9963749352667,3.7937062937062933,40.756084930088036,1.1428321678321678,0.8359076867163365,18.26276576412866,80.901326549155
Hospital          ,15096.0,56.42554319024907,53.928192898781134,4.425921577835172,43.57445680975093,1.2622681380605776,0.4667731236948778,18.621790934774598,80.91143594153053
Catedral          ,10742.0,59.01135728914541,57.02848631539751,3.3601514434453383,40.98864271085459,1.04070042593469,0.45706823375775385,14.593535749265426,84.94939601697682
Zapote          ,15545.0,55.67706658089418,54.049533612093924,2.92316580011554,44.32293341910582,1.1581744656268054,0.6069983337300643,13.746726969769101,85.64627469650084
San Francisco de Dos Ríos,16895.0,57.425273749630065,56.081680970701385,2.3397237682951966,42.574726250369935,1.082972582972583,0.5171503957783642,13.013192612137203,86.46965699208444
Uruca            ,22717.0,59.030681868204425,56.64920544085928,4.034302759134974,40.969318131795575,1.3659955257270693,0.9946382780324812,29.06208718626156,69.94327453570595
Mata Redonda      ,7077.0,54.02006499929348,52.16899816306344,3.4266283023803292,45.97993500070651,1.1744703112738686,1.1375947995666305,11.728060671722645,87.13434452871073
Pavas            ,54510.0,56.319941295175205,53.93505778756192,4.234527687296417,43.6800587048248,1.3252117263843648,0.7346938775510203,23.761904761904763,75.50340136054422
Hatillo           ,39555.0,54.72633042598913,52.218430034129696,4.582621148427034,45.273669574010874,1.333394927703608,0.4502541757443719,16.383442265795207,83.16630355846041
